pool,candidate,family,tier,deployable,new_family
test,keep_lrbn,default,default,True,False
test,sra_safe,boundary,safe,True,False
test,sra_balanced,boundary,balanced,True,False
test,sra_basic_ablation,boundary,balanced,True,False
test,stage3_gated_bp,boundary,safe,True,False
test,mrc_ridge_abstain,residual,safe,True,False
test,mrc_ridge_residual_blend,residual,balanced,True,False
test,volatility_shrink,volatility,safe,True,False
test,level_bias_bounded,level,balanced,True,False
test,level_bias_light,level,safe,True,False
test,amplitude_scale_bounded,amplitude,balanced,True,False
test,amplitude_expand,amplitude,aggressive,False,False
test,phase_shift_short,phase,aggressive,False,False
test,ensemble_median,ensemble,safe,True,False
test,bp_always,boundary,aggressive,False,False
test,raw,raw,aggressive,False,False
test,teacher_median_smoothing,smoothing_teacher,balanced,True,True
test,teacher_ema_smoothing,smoothing_teacher,balanced,True,True
test,teacher_naive_smoothing,smoothing_teacher,balanced,True,True
test,teacher_short_preserve_mid_smooth,smoothing_teacher,safe,True,True
test,teacher_robust_trend,smoothing_teacher,balanced,True,True
test,residual_q25,residual_distribution,balanced,True,True
test,residual_config_median,residual_distribution,safe,True,True
test,residual_q75,residual_distribution,balanced,True,True
test,residual_slice_quantile_median,residual_distribution,balanced,True,True
test,residual_memory_knn_median,retrieval_memory,balanced,True,True
test,residual_memory_knn_weighted,retrieval_memory,balanced,True,True
